iter	MAE
0	411.7527742
5	411.5422407
10	411.3727969
15	411.2619232
20	411.1778747
25	411.1114165
30	411.0580135
35	411.0104099
40	410.9655822
45	410.9221012
50	410.88354
55	410.843907
60	410.8048786
65	410.7671144
70	410.730862
75	410.6950493
80	410.6601161
85	410.6265297
90	410.5928333
95	410.5605662
100	410.5286563
105	410.497626
110	410.4665407
115	410.4360875
120	410.4058817
125	410.3760607
130	410.3473116
135	410.3185625
140	410.2901158
145	410.2624386
150	410.234624
155	410.2070842
160	410.181331
165	410.1566496
170	410.1294671
175	410.1031917
180	410.0765864
185	410.0506682
190	410.0249425
195	409.9990793
200	409.9731611
205	409.947985
210	409.9226166
215	409.8974405
220	409.8725942
225	409.8478579
230	409.8231216
235	409.7987426
240	409.7747483
245	409.7505617
250	409.7272271
255	409.7035352
260	409.679596
265	409.6565912
270	409.633449
275	409.6104167
280	409.5874394
285	409.5645446
290	409.5417322
295	409.5188099
300	409.4964373
305	409.4742571
310	409.4522967
315	409.4303363
320	409.4087333
325	409.3876525
330	409.3667915
335	409.3451335
340	409.3238602
345	409.3024771
350	409.2813413
355	409.2604803
360	409.239262
365	409.2179063
370	409.1970454
375	409.1760745
380	409.1554884
385	409.1348473
390	409.1148658
395	409.094637
400	409.0741334
405	409.0537397
410	409.0334009
415	409.0132545
420	408.9933556
425	408.973484
430	408.9540523
435	408.9339059
440	408.9143917
445	408.8947951
450	408.8752809
455	408.8558216
460	408.8367472
465	408.8173704
470	408.798241
475	408.7788367
480	408.7598722
485	408.7412925
490	408.7227127
495	408.7036933
500	408.6851685
505	408.6666163
510	408.6483664
515	408.6299241
520	408.6115642
525	408.5935067
530	408.575779
535	408.5573917
540	408.539664
545	408.5221837
550	408.5043735
555	408.4867283
560	408.4693854
565	408.4515752
570	408.4336276
575	408.4165596
580	408.3991892
585	408.3821211
590	408.365108
595	408.3483148
600	408.3313017
605	408.3141512
610	408.2977978
615	408.2805648
620	408.2640464
625	408.2475831
630	408.2307898
635	408.2143814
640	408.1983028
645	408.1818394
650	408.1655684
655	408.1489126
660	408.1330264
665	408.1171677
670	408.1011166
675	408.0853128
680	408.0689868
685	408.0528258
690	408.0371869
695	408.0211908
700	408.0057718
705	407.9903528
710	407.9741918
715	407.9587453
720	407.9437661
725	407.9284021
730	407.9131206
735	407.8976466
740	407.8825849
745	407.8676607
750	407.8524066
755	407.8369052
760	407.8218435
765	407.8064521
770	407.7916103
775	407.7764112
780	407.7615144
785	407.7471124
790	407.732463
795	407.7180335
800	407.7033016
805	407.6882949
810	407.6736455
815	407.6586938
820	407.6444567
825	407.629395
830	407.6149105
835	407.6005085
840	407.5862439
845	407.5719792
850	407.558017
855	407.5437798
860	407.53001
865	407.5153606
870	407.5014533
875	407.4870787
880	407.4731439
885	407.4595664
890	407.4456316
895	407.431422
900	407.4162504
905	407.4026179
910	407.388848
915	407.3749682
920	407.3605387
925	407.3463565
930	407.3320919
935	407.3186794
940	407.3055141
945	407.2922115
950	407.2781118
955	407.2650015
960	407.2507644
965	407.2372419
970	407.2239393
975	407.2106366
980	407.1974989
985	407.1840863
990	407.1706737
995	407.1571787
1000	407.1438211
1005	407.1301062
1010	407.1174906
1015	407.1046278
1020	407.0915725
1025	407.0782698
1030	407.065352
1035	407.0525166
1040	407.0397361
1045	407.0261861
1050	407.012856
1055	407.0001031
1060	406.9875425
1065	406.9741299
1070	406.9609372
1075	406.9484042
1080	406.9353489
1085	406.9226509
1090	406.9095956
1095	406.8967602
1100	406.8838973
1105	406.8710894
1110	406.858364
1115	406.8451438
1120	406.8323084
1125	406.8202151
1130	406.8069674
1135	406.7944343
1140	406.7819287
1145	406.7694781
1150	406.7560106
1155	406.74356
1160	406.7308895
1165	406.7183289
1170	406.7058508
1175	406.6936201
1180	406.6816092
1185	406.669461
1190	406.6571752
1195	406.6451094
1199	406.6351599
